公共 DNS 服务器 IP 地址

名称	DNS 服务器 IP 地址
浙江省杭州市（中国网通）	218.108.248.200	218.108.245.157
浙江省溫州市（中国电信）	61.153.177.199	61.153.177.198
浙江省杭州市（中国电信）	202.101.172.35	202.101.172.47
浙江省乐清市（中国电信）	61.153.177.200	61.153.177.202
浙江省余姚市（中国电信）	202.96.104.17	202.96.104.27
陕西省榆林市（中国电信）	202.100.4.15	202.100.0.68
陕西省延安市（中国电信）	61.134.1.4	218.30.19.40
陕西西安（中国铁通）	222.41.52.3	61.232.202.158
陕西省西安市（中国电信）	218.30.19.40	61.134.1.4
安徽省	202.102.192.68	202.102.199.68
安徽省阜阳市（中国电信）	202.102.192.68	202.102.199.68
湖北湖北省（中国电信）	202.103.44.150	202.103.24.68
湖北省武汉市（中国电信）	202.103.24.68	202.103.44.150
湖北省武汉市(中国电信)	202.104.24.68	202.103.0.117
湖北黄石市（中国电信）	202.103.44.150	202.103.24.68
山东省烟台市(中国网通)	202.102.154.3	202.102.152.3
山东省济宁市（中国网通）	202.102.154.3	202.102.152.3
山东省青岛市（中国网通）	202.102.134.68	202.102.128.68
山东省滨州市（中国网通）	202.102.134.68	202.102.128.68
山东省临沂市（中国网通)	202.102.154.3	202.102.152.3
山东省临沂市（中国电信）	219.146.0.130	219.150.32.132
山东省德州市（中国网通）	202.102.152.3	202.102.154.3
山东滕州市（中国网通）	202.102.128.68	202.102.134.68
山东省菏泽市(中国网通)	202.102.152.3	202.102.154.3
山东省枣庄市(中国电信)	219.146.0.130	219.150.32.132
山东省淄博市（中国网通）	202.102.154.3	202.102.152.3
山东省聊城市（中国网通）	202.102.152.3	202.102.154.3
山东省东营市（中国网通）	202.102.152.3	202.102.154.3
山东省东营市（中国网通）	202.102.154.3	202.102.128.68
山东省威海市（中国网通）	202.102.154.3	202.102.152.3
黑龙江省全省共用（中国网通）	202.97.224.69	202.97.227.138
黑龙江哈尔滨（中国电信）	219.150.32.132	219.146.0.130
河北省石家庄（中国网通）	202.99.160.68	202.99.166.4
河北省邯郸市（网通）	202.99.160.68	202.99.166.4
河北省邯郸市（中国铁通）	211.98.2.4	61.232.206.102
河北省邢台市（中国网通）	202.99.160.68	202.99.166.4
河北省秦皇岛(中国网通)	202.99.166.4	202.99.160.68
河北省沧州市（中国网通）	202.99.160.68	202.99.176.30或202.99.166.4
河北省张家口市（中国网通）	202.99.166.4	202.99.160.68
河北省张家口市（中国电信）	219.150.32.132	219.146.0.130
河北省邢台市（中国网通）	202.99.160.68	202.99.166.4或202.99.168.8
贵州省贵阳市（中国电信）	202.98.192.67	202.98.198.167
云南云南省玉溪市（中国电信）	222.172.200.68	61.166.150.123
云南省（中国铁通）	211.98.72.7	211.98.72.8
云南省昆明市（中国网通）	221.3.131.12	221.3.131.11
辽宁省朝阳市（中国铁通）	61.232.206.102	211.98.4.1
辽宁省朝阳市（中国电信）	219.150.32.132	219.146.0.130
辽宁省朝阳市（中国网通）	202.96.69.38	202.96.64.68
辽宁省大连市（中国电信）	219.150.32.132.	219.146.0.130
辽宁省大连市（中国网通）	202.96.69.38	202.96.64.68
辽宁省抚顺市（中国电信）	219.150.32.132	219.146.0.130
河南省 （中国电信）	222.88.88.88	222.85.85.85
河南省（平煤集团电信网）	210.76.0.2	219.150.150.150
河南省郑州市（中国电信）	219.150.150.150	219.150. 32.132
河南省郑州市（中国网通）	202.102.224.68	202.102.227.68
河南省漯河市（中国电信）	219.150.32.132	222.88.88.88
河南省安阳市（中国铁通）	211.98.192.3	61.233.65.3
河南省洛阳市（中国电信）	222.88.88.88	222.85.85.85
河南省网通DNS(全省)	202.102.224.68	202.102.227.68
河南省驻马店市（中国网通）	202.102.224.68	202.102.227.68
四川省重庆市（中国电信）	61.128.128.68	61.128.192.68
四川省泸州市（中国电信）	61.139.2.69	202.98.96.68
四川省泸州市（中国铁通）	61.236.159.99	61.139.2.69
四川省成都市（中国电信）	202.98.96.68	61.139.2.69
四川省遂宁市（中国电信）	202.98.96.68	61.139.2.69
内蒙古呼和浩特市（中国电信）	219.148.162.31	219.150.32.132
内蒙古呼和浩特市（中国网通）	202.224.99.68	202.224.99.67
天津天津市（中国电信）	219.150.32.132	219.146.0.132
天津市（中国网通）	202.99.104.68	202.99.96.68
新疆喀什市（中国电信）	61.128.114.166	61.128.114.133
新疆阿克苏市（中国电信）	61.128.114.166	61.128.114.133
新疆库尔勒市（中国电信）	61.128.114.166	61.128.114.133
吉林吉林省全省共用（中国网通）	202.98.5.68	202.98.0.68
海南海南省海口市（中国铁通）	202.103.96.112	61.144.40.92
海南省海口市 (中国电信)	202.100.197.50	202.100.199.8
西藏拉萨（中国网通）	221.13.65.34	202.102.152.3
甘肃省兰州市中国电信：	202.100.64.68	202.100.64.66
甘肃省兰州市中国铁通：	211.98.121.27	211.98.2.4
甘肃省武威市（中国电信）	202.100.64.68	60.178.0.93
全国各地联通 DNS 服务器 IP 地址

名称	DNS 服务器 IP 地址
北京联通 DNS	202.106.196.115	202.106.46.151
202.106.0.20	202.106.195.68
重庆联通 DNS	221.5.203.98	221.7.92.98
广东联通 DNS	210.21.196.6	221.5.88.88
河北联通 DNS	202.99.160.68	202.99.166.4
河南联通 DNS	202.102.224.68	202.102.227.68
黑龙江联通	202.97.224.69	202.97.224.68
吉林联通 DNS	202.98.0.68	202.98.5.68
江苏联通 DNS	221.6.4.66	221.6.4.67
内蒙古联通	202.99.224.68	202.99.224.8
山东联通 DNS	202.102.128.68	202.102.152.3
202.102.134.68	202.102.154.3
山西联通 DNS	202.99.192.66	202.99.192.68
陕西联通 DNS	221.11.1.67	221.11.1.68
上海联通 DNS	210.22.70.3	210.22.84.3
四川联通 DNS	119.6.6.6	124.161.87.155
天津联通 DNS	202.99.104.68	202.99.96.68
浙江联通 DNS	221.12.1.227	221.12.33.227
辽宁联通 DNS	202.96.69.38	202.96.64.68
全国各地移动 DNS 服务器 IP 地址

名称	DNS 服务器 IP 地址
江苏移动 DNS	221.131.143.69	112.4.0.55
安徽移动 DNS	211.138.180.2	211.138.180.3
山东移动 DNS	218.201.96.130	211.137.191.26
国外公共 DNS

名称	DNS 服务器 IP 地址
谷歌 DNS	8.8.8.8	8.8.4.4
V2EX DNS	199.91.73.222	178.79.131.110
微软 DNS	4.2.2.1	4.2.2.2
4.2.2.3	4.2.2.4
4.2.2.5	4.2.2.6
209.244.0.3	209.244.0.4
香港澳门台湾 DNS

名称	DNS 服务器 IP 地址
香港宽频 DNS	203.80.96.10	203.80.96.9
HKNet宽频 DNS	202.67.240.222	202.67.240.221
和记电讯 DNS	202.45.84.58	202.45.84.59
有线宽频 DNS	61.10.0.130	61.10.1.130
210.80.60.1	210.80.60.2
澳门 DNS	202.175.3.8	202.175.3.3
中华电信	168.95.1.1
（dns.hinet.net）	168.95.192.1
（hntp1.hinet.net）
168.95.192.2
（hntp3.hinet.net）	
速博DNS	61.56.211.185	211.78.130.2
亚太宽频	210.200.211.193	210.200.211.225
台湾固网	211.78.215.137	211.78.215.200
Seednet DNS	139.175.55.244	139.175.252.16
139.175.150.20	139.175.10.20
Apple TV DNS 服务器 IP 地址

名称	DNS 服务器 IP 地址
上海电信	180.153.225.136
杭州电信	115.29.189.118
广东电信	203.195.182.150
北方联通	118.244.224.124
